"state","group1age","group2age","sum"
"MadhyaPradesh",NULL,NULL,70748941
"Assam",NULL,NULL,28240642
"Sikkim",NULL,NULL,973272
"JammuKashmir",NULL,NULL,14657758
"Goa",NULL,NULL,2173640
"Meghalaya",NULL,NULL,1745089
"UttarPradesh",NULL,NULL,130854330
"Maharashtra",NULL,NULL,98171089
"Puducherry",NULL,NULL,1138344
"Mizoram",NULL,NULL,1223612
"Haryana",NULL,NULL,25886840
"DamanDiu",NULL,NULL,1031006
"WestBengal",NULL,NULL,77741559
"Manipur",NULL,NULL,1968846
"Rajasthan",NULL,NULL,62637043
"Jharkhand",NULL,NULL,20565938
"ArunachalPradesh",NULL,NULL,1306361
"Gujarat",NULL,NULL,70706495
"Karnataka",NULL,NULL,65353525
"Kerala",NULL,NULL,38964836
"Delhi",NULL,NULL,20481006
"Tripura",NULL,NULL,4129457
"AndhraPradesh",NULL,NULL,53351495
"Chhattisgarh",NULL,NULL,22191967
"Odisha",NULL,NULL,37294848
"AndamanNicobar",NULL,NULL,494158
"Uttarakhand",NULL,NULL,11376138
"Lakshadweep",NULL,NULL,101080
"Bihar",NULL,NULL,68214939
"Punjab",NULL,NULL,22181312
"Nagaland",NULL,NULL,1200202
"Telangana",NULL,NULL,32269369
"Chandigarh",NULL,NULL,1473016
"TamilNadu",NULL,NULL,58895168
"HimachalPradesh",NULL,NULL,9157473
"Ladakh",NULL,NULL,361078
NULL,NULL,7397786,28240642
NULL,NULL,144429,494158
NULL,NULL,15626651,68214939
NULL,NULL,28517,101080
NULL,NULL,6789499,22191967
NULL,NULL,4870256,20481006
NULL,NULL,18847504,53351495
NULL,NULL,11743371,38964836
NULL,NULL,355762,1473016
NULL,NULL,2720062,11376138
NULL,NULL,429245,1745089
NULL,NULL,76656,361078
NULL,NULL,313963,1138344
NULL,NULL,33426486,130854330
NULL,NULL,2539576,9157473
NULL,NULL,517991,1968846
NULL,NULL,317420,1306361
NULL,NULL,4980177,20565938
NULL,NULL,8709529,32269369
NULL,NULL,15789923,62637043
NULL,NULL,5934081,22181312
NULL,NULL,4293846,14657758
NULL,NULL,22416359,77741559
NULL,NULL,18766004,70706495
NULL,NULL,26277164,98171089
NULL,NULL,16025491,58895168
NULL,NULL,17638747,65353525
NULL,NULL,546054,2173640
NULL,NULL,1312314,4129457
NULL,NULL,270915,1200202
NULL,NULL,16858660,70748941
NULL,NULL,5927511,25886840
NULL,NULL,291041,1223612
NULL,NULL,207193,973272
NULL,NULL,10323193,37294848
NULL,NULL,178693,1031006
NULL,78199522,NULL,130854330
NULL,53436607,NULL,98171089
NULL,43898544,NULL,70748941
NULL,41958302,NULL,77741559
NULL,40866938,NULL,68214939
NULL,40494538,NULL,70706495
NULL,36416110,NULL,65353525
NULL,34795490,NULL,62637043
NULL,33528849,NULL,58895168
NULL,25116955,NULL,53351495
NULL,20355445,NULL,37294848
NULL,18540771,NULL,32269369
NULL,17574004,NULL,28240642
NULL,16869262,NULL,38964836
NULL,15629622,NULL,25886840
NULL,13175054,NULL,20481006
NULL,12593415,NULL,20565938
NULL,12167184,NULL,22181312
NULL,11914268,NULL,22191967
NULL,7971762,NULL,14657758
NULL,6697403,NULL,11376138
NULL,4876180,NULL,9157473
NULL,2153039,NULL,4129457
NULL,1263024,NULL,2173640
NULL,1164904,NULL,1968846
NULL,1149590,NULL,1745089
NULL,928110,NULL,1473016
NULL,869976,NULL,1306361
NULL,801091,NULL,1200202
NULL,797889,NULL,1031006
NULL,759290,NULL,1223612
NULL,652656,NULL,973272
NULL,631557,NULL,1138344
NULL,280404,NULL,494158
NULL,227813,NULL,361078
NULL,56928,NULL,101080
