"stateuts","active","discharged","sum"
"Andaman&Nicobar",NULL,NULL,7688
"AndhraPradesh",NULL,NULL,2073576
"ArunachalPradesh",NULL,NULL,55288
"Assam",NULL,NULL,617475
"Bihar",NULL,NULL,726231
"Chandigarh",NULL,NULL,65481
"Chhattisgarh",NULL,NULL,1006942
"DamanDiu",NULL,NULL,10683
"Delhi",NULL,NULL,1441295
"Goa",NULL,NULL,179125
"Gujarat",NULL,NULL,827659
"Haryana",NULL,NULL,771797
"HimachalPradesh",NULL,NULL,227483
"JammuKashmir",NULL,NULL,337646
"Jharkhand",NULL,NULL,349317
"Karnataka",NULL,NULL,2997643
"Kerala",NULL,NULL,5161471
"Ladakh",NULL,NULL,21683
"Lakshadweep",NULL,NULL,10404
"Madhya Pradesh",NULL,NULL,793232
"Maharashtra",NULL,NULL,6638071
"Manipur",NULL,NULL,125328
"Meghalaya",NULL,NULL,84574
"Mizoram",NULL,NULL,136362
"Nagaland",NULL,NULL,32136
"Odisha",NULL,NULL,1050060
"Puducherry",NULL,NULL,129056
"Punjab",NULL,NULL,603451
"Rajasthan",NULL,NULL,954874
"Sikkim",NULL,NULL,32359
"TamilNadu",NULL,NULL,2729792
"Telengana",NULL,NULL,676787
"Tripura",NULL,NULL,84853
"Uttarakhand",NULL,NULL,344345
"UttarPradesh",NULL,NULL,1710451
"WestBengal",NULL,NULL,1618637
NULL,NULL,5075605,5161471
NULL,NULL,132302,136362
NULL,NULL,993023,1006942
NULL,NULL,782562,793232
NULL,NULL,1039461,1050060
NULL,NULL,2056979,2073576
NULL,NULL,31311,32136
NULL,NULL,54976,55288
NULL,NULL,945706,954874
NULL,NULL,714119,726231
NULL,NULL,608808,617475
NULL,NULL,83937,84853
NULL,NULL,7553,7688
NULL,NULL,6486105,6638071
NULL,NULL,1687424,1710451
NULL,NULL,222831,227483
NULL,NULL,82853,84574
NULL,NULL,31741,32359
NULL,NULL,344061,349317
NULL,NULL,2685203,2729792
NULL,NULL,331436,337646
NULL,NULL,175344,179125
NULL,NULL,336761,344345
NULL,NULL,1591447,1618637
NULL,NULL,10679,10683
NULL,NULL,817239,827659
NULL,NULL,761563,771797
NULL,NULL,64601,65481
NULL,NULL,1415875,1441295
NULL,NULL,126887,129056
NULL,NULL,2952378,2997643
NULL,NULL,122985,125328
NULL,NULL,669010,676787
NULL,NULL,586496,603451
NULL,NULL,10343,10404
NULL,116,NULL,1710451
NULL,2551,NULL,617475
NULL,294,NULL,129056
NULL,7656,NULL,1618637
NULL,394,NULL,179125
NULL,322,NULL,1441295
NULL,180,NULL,771797
NULL,115,NULL,349317
NULL,60,NULL,65481
NULL,22,NULL,726231
NULL,7041,NULL,2997643
NULL,173,NULL,344345
NULL,2179,NULL,1050060
NULL,298,NULL,21683
NULL,800,NULL,227483
NULL,2149,NULL,2073576
NULL,91,NULL,84853
NULL,347,NULL,603451
NULL,8070,NULL,2729792
NULL,0,NULL,10683
NULL,10,NULL,10404
NULL,213,NULL,987233
NULL,6,NULL,7688
NULL,362,NULL,125328
NULL,3779,NULL,676787
NULL,3555,NULL,136362
NULL,246,NULL,84574
NULL,126,NULL,32136
NULL,10803,NULL,6638071
NULL,326,NULL,1834601
NULL,142,NULL,793232
NULL,32,NULL,55288
NULL,1731,NULL,337646
NULL,44427,NULL,5161471
NULL,NULL,21170,21683
