"stateuts","population","totalcases","ntile"
"Maharashtra",124904071,6638071,1
"Kerala",34698876,5161471,1
"Karnataka",69599762,2997643,1
"TamilNadu",83697770,2729792,1
"AndhraPradesh",91702478,2073576,1
"UttarPradesh",231502578,1710451,1
"WestBengal",100896618,1618637,2
"Delhi",19301096,1441295,2
"Odisha",47099270,1050060,2
"Chhattisgarh",32199722,1006942,2
"Rajasthan",79502477,954874,2
"Gujarat",70400153,827659,2
"Madhya Pradesh",85002417,793232,3
"Haryana",28900667,771797,3
"Bihar",128500364,726231,3
"Telengana",38157311,676787,3
"Assam",35998752,617475,3
"Punjab",30501026,603451,3
"Jharkhand",40100376,349317,4
"Uttarakhand",11700099,344345,4
"JammuKashmir",14999397,337646,4
"HimachalPradesh",7503010,227483,4
"Goa",1521992,179125,4
"Mizoram",1308967,136362,4
"Puducherry",1646050,129056,5
"Manipur",3436948,125328,5
"Tripura",4184959,84853,5
"Meghalaya",3772103,84574,5
"Chandigarh",1158040,65481,5
"ArunachalPradesh",1711947,55288,5
"Sikkim",658019,32359,6
"Nagaland",2073074,32136,6
"Ladakh",290492,21683,6
"DamanDiu",773997,10683,6
"Lakshadweep",66001,10404,6
"Andaman&Nicobar",399001,7688,6
