"state","deaths","population","totalcases"
"Maharashtra",141163,124904071,6638071
"Kerala",41439,34698876,5161471
"Karnataka",38224,69599762,2997643
"TamilNadu",36519,83697770,2729792
"Delhi",25098,19301096,1441295
"UttarPradesh",22911,231502578,1710451
"WestBengal",19534,100896618,1618637
"Punjab",16608,30501026,603451
"AndhraPradesh",14448,91702478,2073576
"Chhattisgarh",13593,32199722,1006942
"Bihar",12090,128500364,726231
"Madhya Pradesh",10528,85002417,793232
"Gujarat",10094,70400153,827659
"Haryana",10054,28900667,771797
"Rajasthan",8955,79502477,954874
"Odisha",8420,47099270,1050060
"Uttarakhand",7411,11700099,344345
"Assam",6116,35998752,617475
"Jharkhand",5141,40100376,349317
"JammuKashmir",4479,14999397,337646
"Telengana",3998,38157311,676787
"HimachalPradesh",3852,7503010,227483
"Goa",3387,1521992,179125
"Manipur",1981,3436948,125328
"Puducherry",1875,1646050,129056
"Meghalaya",1475,3772103,84574
"Tripura",825,4184959,84853
"Chandigarh",820,1158040,65481
"Nagaland",699,2073074,32136
"Mizoram",505,1308967,136362
"Sikkim",405,658019,32359
"ArunachalPradesh",280,1711947,55288
"Ladakh",215,290492,21683
"Andaman&Nicobar",129,399001,7688
"Lakshadweep",51,66001,10404
"DamanDiu",4,773997,10683
