"stateuts","population","pop_rank"
"UttarPradesh",231502578,1
"Bihar",128500364,2
"Maharashtra",124904071,3
"WestBengal",100896618,4
"AndhraPradesh",91702478,5
"Madhya Pradesh",85002417,6
"TamilNadu",83697770,7
"Rajasthan",79502477,8
"Gujarat",70400153,9
"Karnataka",69599762,10
"Odisha",47099270,11
"Jharkhand",40100376,12
"Telengana",38157311,13
"Assam",35998752,14
"Kerala",34698876,15
"Chhattisgarh",32199722,16
"Punjab",30501026,17
"Haryana",28900667,18
"Delhi",19301096,19
"JammuKashmir",14999397,20
"Uttarakhand",11700099,21
"HimachalPradesh",7503010,22
"Tripura",4184959,23
"Meghalaya",3772103,24
"Manipur",3436948,25
"Nagaland",2073074,26
"ArunachalPradesh",1711947,27
"Puducherry",1646050,28
"Goa",1521992,29
"Mizoram",1308967,30
"Chandigarh",1158040,31
"DamanDiu",773997,32
"Sikkim",658019,33
"Andaman&Nicobar",399001,34
"Ladakh",290492,35
"Lakshadweep",66001,36
