"stateuts","population","totalcases","tot_rank"
"Maharashtra",124904071,6638071,1
"Kerala",34698876,5161471,2
"Karnataka",69599762,2997643,3
"TamilNadu",83697770,2729792,4
"AndhraPradesh",91702478,2073576,5
"UttarPradesh",231502578,1710451,6
"WestBengal",100896618,1618637,7
"Delhi",19301096,1441295,8
"Odisha",47099270,1050060,9
"Chhattisgarh",32199722,1006942,10
"Rajasthan",79502477,954874,11
"Gujarat",70400153,827659,12
"Madhya Pradesh",85002417,793232,13
"Haryana",28900667,771797,14
"Bihar",128500364,726231,15
"Telengana",38157311,676787,16
"Assam",35998752,617475,17
"Punjab",30501026,603451,18
"Jharkhand",40100376,349317,19
"Uttarakhand",11700099,344345,20
"JammuKashmir",14999397,337646,21
"HimachalPradesh",7503010,227483,22
"Goa",1521992,179125,23
"Mizoram",1308967,136362,24
"Puducherry",1646050,129056,25
"Manipur",3436948,125328,26
"Tripura",4184959,84853,27
"Meghalaya",3772103,84574,28
"Chandigarh",1158040,65481,29
"ArunachalPradesh",1711947,55288,30
"Sikkim",658019,32359,31
"Nagaland",2073074,32136,32
"Ladakh",290492,21683,33
"DamanDiu",773997,10683,34
"Lakshadweep",66001,10404,35
"Andaman&Nicobar",399001,7688,36
