"state","aefi","td"
"Maharashtra",5505,98171089
"WestBengal",3499,77741559
"Karnataka",2897,65353525
"Kerala",2896,38964836
"UttarPradesh",1944,130854330
"Gujarat",1887,70706495
"MadhyaPradesh",1247,70748941
"Delhi",1234,20481006
"Mizoram",1222,1223612
"Haryana",1014,25886840
"Jharkhand",974,20565938
"HimachalPradesh",779,9157473
"AndhraPradesh",777,53351495
"Odisha",747,37294848
"Chhattisgarh",707,22191967
"Rajasthan",671,62637043
"Goa",624,2173640
"Uttarakhand",525,11376138
"Telangana",463,32269369
"TamilNadu",384,58895168
"Meghalaya",308,1745089
"Bihar",303,68214939
"Sikkim",301,973272
"Assam",298,28240642
"Punjab",295,22181312
"ArunachalPradesh",291,1306361
"JammuKashmir",260,14657758
"Chandigarh",180,1473016
"Manipur",153,1968846
"DamanDiu",139,1031006
"Tripura",79,4129457
"Nagaland",65,1200202
"Puducherry",28,1138344
"Lakshadweep",12,101080
"AndamanNicobar",7,494158
"Ladakh",7,361078
