"state","above65","td"
"UttarPradesh",19228322,130854330
"Maharashtra",18457318,98171089
"WestBengal",13366898,77741559
"Rajasthan",12051630,62637043
"Bihar",11721350,68214939
"Gujarat",11445953,70706495
"Karnataka",11298668,65353525
"Kerala",10352203,38964836
"MadhyaPradesh",9991737,70748941
"AndhraPradesh",9387036,53351495
"TamilNadu",9340828,58895168
"Odisha",6616210,37294848
"Telangana",5019069,32269369
"Haryana",4329707,25886840
"Punjab",4080047,22181312
"Chhattisgarh",3488200,22191967
"Assam",3268852,28240642
"Jharkhand",2992346,20565938
"Delhi",2435696,20481006
"JammuKashmir",2392150,14657758
"Uttarakhand",1958673,11376138
"HimachalPradesh",1741717,9157473
"Tripura",664104,4129457
"Goa",364562,2173640
"Manipur",285951,1968846
"Puducherry",192824,1138344
"Chandigarh",189144,1473016
"Mizoram",173281,1223612
"Meghalaya",166254,1745089
"Nagaland",128196,1200202
"ArunachalPradesh",118965,1306361
"Sikkim",113423,973272
"AndamanNicobar",69325,494158
"Ladakh",56609,361078
"DamanDiu",54424,1031006
"Lakshadweep",15635,101080
